longitude,latitude,date,name
93.9128,24.837,2010-08-10,Tharon
88.38,27.1499,2007-07-16,Bardang
88.6115,27.1954,2009-09-17,th
93.6884,27.1032,2011-07-19,Itanagar
91.2698,25.4916,2010-06-28,Borsorsa
94.0,27.163,2008-08-14,Pare
91.7697,26.1619,2014-06-27,Bhangagarh
93.9877,25.0604,2007-08-09,Lower
92.3567,25.0951,2012-06-13,NH
92.9064,27.2743,2011-07-16,Mebua
89.9032,25.7238,2014-09-23,Hatsingimari
92.8411,24.9849,2008-05-20,Cachar
93.9854,25.5007,2015-07-22,Willong
93.125,24.3069,2010-09-16,Churanchandpur
94.1057,25.6263,2015-08-20,between
94.7596,28.1737,2015-08-18,Arunachal
93.6086,27.0869,2014-08-17,Arunachal
93.0514,23.8447,2015-08-26,Phullen
91.8666,25.5772,2014-09-23,Mawbah
92.0757,25.5498,2012-06-13,NH
93.5444,24.8142,2012-10-06,Imphal
88.2426,27.3425,2013-01-09,Tamabong
92.801,25.0477,2010-07-25,road
94.0462,25.70224,2010-08-13,NH
94.5247,26.3185,2016-06-14,lower
91.7896,26.1844,2014-06-26,Bamunimaidam
94.0691,24.2451,2007-10-09,Chandel
94.1136,25.6237,2015-12-08,Phesama
88.3651,27.1675,2012-09-16,Namchi
94.0644,24.4072,2015-01-08,between
92.694,23.7527,2010-09-16,Aizawl
94.25,26.138,2008-08-19,Wokha
94.0573,23.9939,2015-01-08,near
91.72138,26.49349,2015-01-09,Amingaon
94.1066,25.67,2008-08-29,Kohima
93.8443,24.9356,2010-07-31,Dimapur
93.5039,24.7543,2010-07-06,Irang
92.7362,23.7131,2015-06-19,Muanna
94.9439,26.3897,2013-08-16,Tobu
92.3807,25.1416,2015-08-19,Tongseng
92.72124,23.73479,2009-05-10,Chhinga
91.7825,26.1961,2016-06-22,Piyali
92.3636,25.0728,2015-08-19,National
88.5292,27.172,2016-10-15,Rangpo
92.7187,23.7313,2015-09-14,Aizawl
93.6795,25.1604,2012-04-03,Tamenlong
88.609,27.337,2008-08-28,Ranka
88.6087,27.322,2010-04-17,Nam
95.8776,28.4298,2010-05-31,Anini
92.7264,24.5204,2016-05-18,Hailakandi
92.6351,27.0136,2016-01-07,Old
93.6287,27.0998,2008-06-14,Itanagar
91.7599,26.1771,2013-11-05,Sarania
95.4993,26.9986,2012-06-25,Khonsa
93.8067,25.7713,2011-08-13,Chumukedima
93.0515,27.8837,2013-01-08,Polo
88.42572,27.05374,2011-07-19,meters
93.9482,24.8063,2011-06-07,National
92.8416,22.7176,2010-09-13,Hual
92.8,27.7,2009-12-08,Subansiri
93.8794,25.5098,2015-07-22,Yangkhullen
94.4182,24.8628,2009-08-30,Ukhrul
93.5027,24.9786,2010-07-29,Tamenglong
92.8339,25.2946,2007-08-26,Shillong
91.7162,26.1226,2012-06-22,Lalunggaon
91.893,25.583,2015-09-23,Shillong
92.3814,24.6005,2010-03-06,Karimganj
91.8569,27.5799,2016-04-22,Tawang
91.9754,27.5754,2016-05-08,Tawang
92.2833,27.44,2011-12-08,Kameng
94.5438,26.2083,2013-04-08,Longsa
93.9784,24.6596,2008-09-06,near
94.1497,25.8266,2013-05-10,Chiechama
91.7702,26.1768,2016-07-14,Pub
93.3497,27.8997,2010-02-04,Kumey
88.4397,27.0816,2015-07-07,NH
92.7175,23.7281,2013-11-05,Laipuitland
93.686,25.16,2015-06-19,Tamenglang
92.2897,25.3433,2010-11-05,Hills
91.85672,27.57987,2010-11-22,Tawang
91.6906,26.1016,2013-11-05,Boragaon
92.6755,24.2315,2013-07-05,Kolasib
91.763,26.1965,2010-04-20,Kharghuli
91.8806,26.1028,2015-08-22,Natonal
94.564,26.0838,2013-04-08,Suruhuto
92.6724,24.042,2015-08-27,National
93.7145,27.125,2011-07-15,Itanagar
96.1509,28.8254,2013-07-04,Dibang
94.0984,24.416,2015-01-08,Senam
94.9731,26.4205,2013-08-30,Yakshu
94.1327,25.4786,2010-08-27,NH
94.1739,25.8782,2011-01-07,NH
88.3664,27.1695,2016-10-15,Namchi
92.4584,25.0318,2015-03-19,Ratacherra
94.9829,28.611,2013-02-09,Gosang
93.3783,23.5397,2016-07-28,Ngur
91.7369,26.1049,2012-06-25,Sonaighuli
96.1517,28.8254,2012-02-06,Arunachal
93.0385,27.36,2015-07-15,Type
91.8383,26.1309,2013-06-10,Batahguli
95.4112,28.3036,2010-09-09,Siang
93.8474,25.1555,2011-05-31,Roads
94.0212,25.2745,2010-08-10,Senapati
92.71061,23.73504,2010-09-13,road
92.8551,25.0888,2011-05-24,Silchar
88.6188,27.3392,2010-08-27,Daragaon
91.8695,26.048,2015-05-09,Byrnihat
93.0748,23.3439,2010-09-13,near
90.2191,25.5084,2015-06-16,Akonggre
94.693,26.7103,2013-11-08,Kangtsung
88.6428,27.3543,2010-05-31,East
93.4108,24.7679,2010-08-10,Nungba
94.6219,25.72,2015-02-08,Phek
94.5282,26.0101,2016-07-26,Zunheboto
94.1076,25.682,2010-09-10,Lower
92.7187,23.7348,2015-09-14,Aizawl
90.5549,25.2193,2015-08-19,NH
91.8644,27.5748,2016-07-28,Dolma
94.0441,25.318,2013-09-08,Senapati
93.5291,24.7016,2015-11-08,Khoupum
92.8025,25.0633,2010-06-16,rails
94.1095,25.6703,2011-11-07,NH
94.04,25.705,2008-07-08,Kiphire
94.5121,26.3186,2011-06-20,Mokokchung
94.3591,25.1122,2015-01-08,Ukhrul
94.8885,28.9986,2012-05-07,Tuting
95.0283,26.7215,2010-07-19,Jahjon
88.2816,27.2872,2007-09-18,Geyzing
92.7146,23.7365,2010-06-08,Dawrpui
92.5217,23.7705,2012-11-11,Dapchhuah
94.6055,26.1498,2013-04-08,Suruhuto
94.8422,26.148,2010-08-14,Tuensang
90.2167,25.5144,2011-08-16,Garo
91.27,25.52,2007-11-09,Assam
91.7652,26.1964,2014-06-28,Kharghuli
94.1913,24.4265,2015-01-08,between
92.71496,23.72989,2010-09-13,Tuikual
91.8,26.1833,2007-09-13,Guwahati
88.35,27.1667,2007-09-09,Hingdam
91.8587,25.9702,2014-05-10,Jorabat
88.6065,27.339,2012-06-14,Tathangchen
94.1192,25.4993,2007-09-09,Mao
90.232,25.5212,2007-07-27,Tura
94.0906,23.9278,2015-01-08,Wayang
93.55,24.9667,2007-08-26,Tamenglong
93.0123,25.1775,2012-03-06,between
93.1265,25.3056,2012-03-06,between
94.4481,25.1941,2015-01-08,Ukhrul
94.1054,25.4196,2010-07-29,Senapati
94.13,25.83,2011-08-18,Botsa
93.4946,24.9926,2013-12-05,Khongsang
92.8112,23.4495,2015-08-28,Mizoram
93.948,24.7992,2011-07-22,Heibok
91.7049,26.1665,2013-06-10,Nilachal
94.5512,26.3335,2010-06-15,Fazl
94.2156,24.954,2015-01-08,Imphal
93.0083,25.1796,2010-09-10,Haflong
94.1162,25.4379,2007-10-19,Senapati
94.0132,25.7055,2007-10-16,NH
93.804,27.3034,2016-07-16,Hoj
95.4149,28.3092,2010-03-10,Siang
94.6279,25.9466,2014-08-09,Kiphire
93.1658,25.2269,2010-06-15,rails
95.0281,26.7225,2010-06-07,Mon
94.1146,24.3481,2015-01-08,Chandel
91.6469,26.1468,2015-02-14,Kailashpur
92.2845,25.3612,2010-04-21,Hills
92.562,24.6108,2015-02-19,nan
90.3852,25.7354,2014-09-21,National
90.5763,25.8143,2014-09-24,Meghalaya
94.11112,25.63962,2010-12-09,power
92.5121,24.5308,2016-05-18,Hailakandi
88.2891,27.2676,2016-12-10,Legship
92.7265,23.7269,2015-08-27,three
94.0926,25.3908,2015-07-22,NH
91.4663,24.0896,2013-08-05,Purba
91.802,26.1966,2016-07-20,Noonmati
93.1477,25.4749,2010-09-10,between
91.7747,26.1097,2014-09-22,Lalmati
94.6654,26.2753,2010-08-17,Dikhu
91.6849,26.1001,2014-09-22,Pamohi
94.9612,28.235,2016-07-19,km
91.7986,26.1699,2007-07-19,Guwahati
