longitude,latitude,date,name
92.38735,25.297401,2022-04-13,Byndihati-Umtyra_9
92.38551,25.259485,2022-04-13,Nongsning_12
92.3757,25.242348,2022-04-13,Shiehruphi_1
92.37896,25.220339,2022-04-13,Thangskai_1
92.36781,25.150444,2022-04-13,Umlaper_tea_stall_1
92.37676,25.147703,2022-04-13,Tongseng1
92.373055,25.143984,2022-04-13,Tongseng2
92.37366,25.1438,2022-04-13,Tongseng3
92.37443,25.144033,2022-04-13,Tongseng4
92.379005,25.14076,2022-04-13,HP_petrol_pump_tongseng_1
92.37903,25.140772,2022-04-13,HP_petrol_pump_tongseng_2
92.37898,25.140808,2022-04-13,HP_petrol_pump_tongseng_3
92.388245,25.129538,2022-04-13,3km_before_sonapur_1
92.38578,25.12547,2022-04-13,Before_Sonapur2
92.37368,25.113762,2022-04-13,Before_Sonapur3
92.410835,25.045042,2022-04-13,Donsakul 1
92.43025,25.044744,2022-04-13,Ratacherra 1
90.060165,25.389677,2022-06-09,Jebalgre_landslide
89.951546,25.507116,2022-06-09,Betasingh_landslide
92.37444,25.18166,2020-06-16,Lumshnong_landslide
91.57084,25.44632,2022-06-16,Laitlarem landslide
92.02121,25.206291,2022-06-17,Darrang_landslide
90.03326,25.459652,2022-06-17,Bolsalgre_landslide
90.68374,25.351841,2022-06-17,Siju_landslide
93.6878,27.112083,2022-06-19,Sood_landslide
93.62141,27.095318,2022-05-16,Punjabi_dhabha_landslide
93.61592,27.079184,2022-05-16,Ganga_Jully_basti_road
93.650566,27.107346,2022-06-19,Modirijo landslide
93.27676,27.856197,2022-04-19,Sulung_tapin_landslide
93.6709,24.80265,2022-06-30,Tupul_yard_landslide
92.84086,22.690073,2022-06-19,Tawipui_road
88.695972,27.830094,2022-08-31,Poom_landslide
88.395556,27.296944,2022-11-04,Yangang Landslide
95.7776,28.2333,2023-02-24,Roing Anini
94.86047758,28.78213823,2023-03-24,Tuting Landslide
94.77570872,28.79895656,2023-05-05,Mossing Landslide
93.43502779,27.89451833,2023-05-06,Kurung 1
93.42410335,27.8964705,2023-05-06,Kurung 2
92.610166,27.026924,2023-06-12,Tippi Landslide
93.828636,27.095932,2023-06-23,Karsingsa Landslide
93.671454,27.101535,2023-06-23,Puroik Landslide
92.525162,27.10699,2023-06-23,Sessa Landslide
94.930641,28.233721,2023-06-23,Pangin Landslide
95.282822,28.095267,2023-07-16,Pangin Landslide
94.144356,28.235584,2023-07-28,Taliha Landslide
95.269295,28.14251,2023-07-28,"NH 13, Pangin Landslide"
94.697075,27.717104,2023-08-18,Siji Landslide
92.547048,27.204944,2023-08-27,Nag Mandir Landslide
92.38797,27.203191,2023-08-27,Rupa Landslide
92.136539,27.057521,2023-08-27,Dengzi Landslide
92.218027,27.09638,2023-08-27,Tenzin Landslide
94.258982,27.552115,2023-10-27,Subansiri Landslide
93.76566,25.529813,2023-07-10,Iron Bridge Landslide
94.85535,25.994082,2023-07-16,Kiphire Landslide
94.047805,25.709988,2023-07-17,Meriema Landslide
94.784753,25.876143,2023-08-09,Kiphire Town Landslide
94.906812,25.708869,2023-08-25,Mimi Landslide
